"Nombre","Especie","Familia","Orden","Clase","Habitat","Dieta","Gestacion","Numero de crias","Vida"
"Mantela dorada","Mantella aurantiaca","Mantellidae","Anura","Anfibios","Se encuentran en zonas húmedas y temperadas de selvas pantanosas a partir de los 900 metros de altitud, y generalmente en montículos cubiertos de hierba o musgo.","Insectívora a base de termitas, hormigas, moscas de la fruta y también cualquier otro artrópodo que quepa en su boca.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Pelícano rosado","Pelecanus rufescens","Pelecanidae","Pelecaniformes","Aves","Viven en una gran variedad de ecosistemas acuáticos, pero prefieren lugares de aguas tranquilas y lagunas con vegetación de aguas superficiales, tales como lagos de agua dulce, pantanos, grandes ríos con corrientes lentas o charcas estacionales. También se les encuentra lagos alcalinos y salinos, y en ocasiones en zonas costeras como bahías o estuarios, generalmente evitan lagos con márgenes empinados.","Se alimentan de peces que capturan frecuentemente en grupo, prefieren peces cíclidos, especialmente Haplochromis y Tilapia.","30 días.","2 – 4","10-20 años en la naturaleza y hasta 30 en cautividad."
"Rana veneno azul","Dendrobates azureus","Dendrobatidae","Anura","Anfibios","Aunque de hábitos terrestres, se encuentra siempre en ambientes húmedos con fuentes de agua cercanas.","Principalmente a base de hormigas, termitas y otros pequeños insectos, así como pequeñas arañas.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Rana veneno fantasma","Epipedobates tricolor","Dendrobatidae","Anura","Anfibios","Vive en bosques de montaña cercanos a corrientes de agua, en zonas con altitudes de entre 1000-1800 metros.","Insectívora a base de pequeños insectos.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Flamenco común","Phoenicopterus roseus","Phoenicopteridae","Phoenicopteriformes","Aves","Viven preferentemente en zonas lacustres poco profundas, muy salinas y alcalinas, casi siempre cercanas a la costa. También se los ha observado en lagunas y lagos volcánicos.","No son selectivos en su dieta, se alimentan de cualquier cosa que es capturada en el proceso de filtración; bacterias y microorganismos, gusanos, nematodos, moluscos, crustáceos, insectos y larvas, e incluso vertebrados como pequeños peces y materia vegetal.","30-32 días.","1","Alrededor de 25 años en la naturaleza y hasta 30 en cautividad."
"Fosa","Cryptoprocta ferox","Eupleridae
 Euplerinae","Carnivora","Mammalia","La fosa habita todas las áreas forestales de la isla de Madagascar (húmedas y secas), desde el nivel del mar hasta altitudes de 2600 metros.","Principal depredador de Madagascar, se alimenta de pequeños mamíferos, aves, reptiles, anfibios e insectos. Los lémures constituyen más de la mitad de su dieta.","90 días.","2-4","20 años."
"Lémur de cola anillada","Lemur catta","Lemuridae","Primates","Mammalia","A diferencia de otros lémures que pasan la mayor parte de su tiempo en los árboles, el lémur de cola anillada pasa mucho tiempo en el suelo. Como hábitat prefieren bosques de galería y arbustos del género Euphorbia, aunque también pueden vivir en otros tipos de bosques y selvas de Madagascar.","Frutas, hojas, flores, hierbas y, ocasionalmente, insectos.","120-135 días.","1 individuo o gemelos.","Alrededor de 27 años en la naturaleza y 30 en cautividad."
"Lémur frentirrojo","Eulemur rufus","Lemuridae","Primates","Mammalia","Viven en bosques húmedos y secos, en altitudes comprendidas entre 275-1670 m.","Altamente frugívoros, las frutas constituyen más del 50% de su dieta. También se alimenta de hojas, flores, y ocasionalmente de insectos y otros artrópodos.","120 días.","1","En la naturaleza desconocida, en cautividad hasta 35 años."
"Lémur mangosta","Eulemur mongoz","Lemuridae","Primates","Mammalia","En Madagascar habita en bosques secos de hoja caduca, mientras que en las islas Comores vive en bosques húmedos.","Se alimentan principalmente de frutos, hojas, flores y néctar.","128 días.","1","En la naturaleza desconocida, en cautividad hasta 30 años."
"Lémur de vientre rojo","Eulemur rubriventer","Lemuridae","Primates","Mammalia","Vive principalmente en regiones de bosques húmedos, en altitudes medias y altas.","Fruta, flores, néctar, hojas y ocasionalmente insectos.","127-130 días.","1","20-25 años."
"Pelícano común","Pelecanus onocrotalus","Pelecanidae","Pelecaniformes","Aves","En África, su hábitat incluye tierras bajas y lagos alcalinos o de agua dulce, poco profundos y de aguas templadas.","Se alimentan casi exclusivamente de peces, en África prefieren cíclidos, el 90% son peces grandes, el 10% restante es a base de una abundante cantidad de peces pequeños, y en las poblaciones del suroeste de África se alimentan también de huevos y polluelos de cormorán del cabo (Phalacrocorax capensis).","29-36 días.","2","Hasta 51 años en cautividad."
"Vari blanquinegro","Varecia variegata variegata","Lemuridae","Primates","Mammalia","Bosques lluviosos.","Es el lémur más frugívoro que existe, siendo su dieta principalmente a base de frutas, aún así también se alimenta de hojas, néctar y semillas en función de la estación.","90-102 días.","2-6","19 años en la naturaleza, hasta 28-32 años en cautividad."
"Vari rojo","Varecia rubra","Lemuridae","Primates","Mammalia","Bosques húmedos tropicales.","Se alimentan principalmente de fruta, néctar y polen. Durante la estación seca, cuando la comida escasea, se alimentan también de hojas, flores y semillas.","90-102 días.","3","18-20 años en naturaleza, hasta 25 años en cautividad."
